Node Number,Thread Number,Spatial Distribution,Temporal Distribution,T/R,Processor Utilization ,Channel Waiting Time,Input Waiting Time,Network Response Time,Channel Utilization,Column1,_1,_2,_3,_4
64,10,HR,Client-Server,3,654058,22386116,792572565,3084570291,559245,,,,,
64,10,HR,Client-Server,4,66297,63343914,75052034,3079737616,664514,,,,,
64,10,HR,Client-Server,5,645673,200854584,644088642,382153383,742057,,,,,
64,10,HR,Client-Server,6,591505,456956177,4474156,376782198,776667,,,,,
64,10,HR,Client-Server,7,521848,689914368,272809553,488531403,774557,,,,,
64,10,HR,Client-Server,8,490651,834243164,20279287,4445629398,820486,,,,,
64,10,HR,Client-Server,9,452518,974687012,166741261,5406725208,846172,,,,,
64,10,HR,Client-Server,1,41892,1099184082,141082172,5578782966,849566,,,,,
64,4,BR,Client-Server,1,905039,2064371,312112215,421877284,2023,,,,,
64,4,BR,Client-Server,2,900025,10150197,286822622,470197916,384201,,,,,
64,4,BR,Client-Server,3,883719,27690582,257634588,525910576,549167,,,,,
64,4,BR,Client-Server,4,853155,63448967,217084157,60876642,693715,,,,,
64,4,BR,Client-Server,5,81232,118239517,167018717,742125137,816536,,,,,
64,4,BR,Client-Server,6,749235,183529724,12498469,826143227,895417,,,,,
64,4,BR,Client-Server,7,675295,253750458,94723194,961642973,936189,,,,,
64,4,BR,Client-Server,8,605546,326512787,70481463,1201631933,956806,,,,,
64,4,BR,Client-Server,9,543298,397394623,53208525,1230205126,967266,,,,,
64,4,BR,Client-Server,1,491761,463621521,4359645,1493745104,971528,,,,,
64,6,BR,Client-Server,1,9375,2221174,505996723,614630123,209783,,,,,
64,6,BR,Client-Server,2,935522,11598482,474580111,705468587,400017,,,,,
64,6,BR,Client-Server,3,922333,33815647,443284879,698256515,573151,,,,,
64,6,BR,Client-Server,4,915624,87285263,378630739,836310509,739653,,,,,
64,6,BR,Client-Server,5,870269,201725983,274904992,1072239243,875431,,,,,
64,6,BR,Client-Server,6,796469,349786835,177205979,1196322911,944792,,,,,
64,6,BR,Client-Server,7,703475,491681183,117337618,1469079664,96645,,,,,
64,6,BR,Client-Server,8,622974,616168579,85139828,1717654857,974028,,,,,
64,6,BR,Client-Server,9,554223,733769775,64354544,1995584056,975781,,,,,
64,6,BR,Client-Server,1,500716,840099243,54225401,2231332104,976563,,,,,
64,8,BR,Client-Server,1,948599,2236039,702994414,77069059,212621,,,,,
64,8,BR,Client-Server,2,947834,11946494,671295779,912798464,405694,,,,,
64,8,BR,Client-Server,3,937209,36190128,632904352,976231023,583672,,,,,
64,8,BR,Client-Server,4,9347,104912659,550705519,1072740772,753958,,,,,
64,8,BR,Client-Server,5,908685,278916565,390322682,1316231632,898741,,,,,
64,8,BR,Client-Server,6,96125,53666925,215844594,1768407896,817017,,,,,
64,8,BR,Client-Server,7,973316,739287598,137888258,1945345426,714026,,,,,
64,8,BR,Client-Server,8,977292,91185968,97604255,2341989053,631147,,,,,
64,8,BR,Client-Server,9,97836,106274292,80864712,2665358418,561694,,,,,
64,8,BR,Client-Server,1,978299,1206503906,70630917,297670983,507582,,,,,
64,10,BR,Client-Server,1,95829,2279548,892852416,1073734018,21375,,,,,
64,10,BR,Client-Server,2,944783,1198399,874462284,1076528275,404392,,,,,
64,10,BR,Client-Server,3,947848,37191639,82385165,1124130178,588906,,,,,
64,10,BR,Client-Server,4,942199,107564377,736207309,1243009661,761146,,,,,
64,10,BR,Client-Server,5,928141,337949127,482476965,1663612858,915278,,,,,
64,10,BR,Client-Server,6,828573,626390198,250496786,2074953492,967448,,,,,
64,10,BR,Client-Server,7,720587,833389587,160824461,2591180139,975929,,,,,
64,10,BR,Client-Server,8,636664,99294165,125042268,2931702541,978125,,,,,
64,10,BR,Client-Server,9,567883,1148794189,10243451,3325676426,979688,,,,,
64,10,BR,Client-Server,1,513848,1307005127,88266633,3710484756,979774,,,,,
64,4,PS,Client-Server,1,828573,1934532,281991851,52921,607869882,,,,,
64,4,PS,Client-Server,2,824084,95502,262127869,633802,902966929,,,,,
64,4,PS,Client-Server,3,795685,2633913,239734762,718047,1042409722,,,,,
64,4,PS,Client-Server,4,739597,56360073,230163026,778299,1219612435,,,,,
64,4,PS,Client-Server,5,695053,126209816,176588953,822266,1202936709,,,,,
64,4,PS,Client-Server,6,62477,203292633,14207526,846927,1688953232,,,,,
64,4,PS,Client-Server,7,541929,287763733,121877978,84079,1904053095,,,,,
64,4,PS,Client-Server,8,487871,351338531,107055717,857222,2191738331,,,,,
64,4,PS,Client-Server,9,43976,420470581,9521403,86,2752001151,,,,,
64,4,PS,Client-Server,1,400416,500004944,77396653,865191,2895323131,,,,,
64,6,PS,Client-Server,1,927886,225691,467220073,991654608,469149,,,,,
64,6,PS,Client-Server,2,914674,11221832,444583904,1179806258,594844,,,,,
64,6,PS,Client-Server,3,897633,3458432,421810454,1270946206,713385,,,,,
64,6,PS,Client-Server,4,867957,83233231,374280065,1463837946,8075,,,,,
64,6,PS,Client-Server,5,80322,190616913,303249182,1548167651,869141,,,,,
64,6,PS,Client-Server,6,715007,335887207,22588267,2433831986,901146,,,,,
64,6,PS,Client-Server,7,637811,44849762,194370202,2761361123,92033,,,,,
64,6,PS,Client-Server,8,561209,594423401,141776326,2950973036,921806,,,,,
64,6,PS,Client-Server,9,503471,68862207,134938714,3475612812,923828,,,,,
64,6,PS,Client-Server,1,460363,792786804,115919129,3914442104,933333,,,,,
64,8,PS,Client-Server,1,94723,2302593,664751138,1172376429,407578,,,,,
64,8,PS,Client-Server,2,936275,11752433,648914045,1191328365,558073,,,,,
64,8,PS,Client-Server,3,938896,37560291,603003875,1408075927,701823,,,,,
64,8,PS,Client-Server,4,916288,98944687,545087566,154460147,82066,,,,,
64,8,PS,Client-Server,5,863297,255613998,425801938,2257446611,901259,,,,,
64,8,PS,Client-Server,6,771295,458623169,315421884,2694984699,938385,,,,,
64,8,PS,Client-Server,7,680886,664535339,225084681,3618974981,952474,,,,,
64,8,PS,Client-Server,8,606569,82657782,185147187,3980472255,95875,,,,,
64,8,PS,Client-Server,9,538424,99904895,143408169,4515318353,956406,,,,,
64,8,PS,Client-Server,1,492775,1135979736,125056075,4284404858,964583,,,,,
64,10,PS,Client-Server,1,956543,2329191,854506365,1317539043,385946,,,,,
64,10,PS,Client-Server,2,964797,12197474,828237477,1602749624,549549,,,,,
64,10,PS,Client-Server,3,958799,38007793,786852128,1632929179,700755,,,,,
64,10,PS,Client-Server,4,833681,104889626,712104035,2470414099,945997,,,,,
64,10,PS,Client-Server,5,90626,279355682,556958907,2488393811,924262,,,,,
64,10,PS,Client-Server,6,799148,535853882,36184257,3466244423,954688,,,,,
64,10,PS,Client-Server,7,705812,745923279,254808006,3810631711,967908,,,,,
64,10,PS,Client-Server,8,628214,898211548,220939988,4583919059,975486,,,,,
64,10,PS,Client-Server,9,561943,1053160522,191264946,4622484513,978594,,,,,
64,10,PS,Client-Server,1,509802,1211382568,147265376,5919152636,980382,,,,,
64,4,UN,Asynchronous,1,816425,1899652,304142096,138918151,438524,,,,,
64,4,UN,Asynchronous,2,802371,9239443,287760631,221239958,56026,,,,,
64,4,UN,Asynchronous,3,77942,26343061,261583243,34333257,670156,,,,,
64,4,UN,Asynchronous,4,731806,61675339,241112137,365704783,732153,,,,,
64,4,UN,Asynchronous,5,681066,122838882,194910803,564244978,794358,,,,,
64,4,UN,Asynchronous,6,624804,207630569,145400461,746187279,837708,,,,,
64,4,UN,Asynchronous,7,560888,285684875,120476798,834650499,854826,,,,,
64,4,UN,Asynchronous,8,484743,380017151,87956296,1027134803,837014,,,,,
64,4,UN,Asynchronous,9,448374,447772125,77160614,1160935215,864141,,,,,
64,4,UN,Asynchronous,1,404992,524617188,67063865,1183696475,858073,,,,,
64,6,UN,Asynchronous,1,849913,2062736,498420073,13631725,392665,,,,,
64,6,UN,Asynchronous,2,874955,10711858,471114584,207247489,570139,,,,,
64,6,UN,Asynchronous,3,850958,32423492,452291306,337491171,663828,,,,,
64,6,UN,Asynchronous,4,791423,83810753,393581999,571173224,843573,,,,,
64,6,UN,Asynchronous,5,786026,190786957,311382721,778427756,863238,,,,,
64,6,UN,Asynchronous,6,710901,199974614,365533325,1001625231,894688,,,,,
64,6,UN,Asynchronous,7,611163,503520325,159535965,1288482455,888915,,,,,
64,6,UN,Asynchronous,8,539734,638689331,123091451,1391636666,890695,,,,,
64,6,UN,Asynchronous,9,491085,744496521,98180394,1614588983,905625,,,,,
64,6,UN,Asynchronous,1,443039,857977722,86052872,1778766636,90599,,,,,
64,8,UN,Asynchronous,1,896803,2195465,691580927,150551879,408776,,,,,
64,8,UN,Asynchronous,2,89971,11211035,658241134,298356074,552934,,,,,
64,8,UN,Asynchronous,3,888416,35185795,636182197,417879955,676302,,,,,
64,8,UN,Asynchronous,4,887363,103991623,556300537,662942924,799896,,,,,
64,8,UN,Asynchronous,5,83289,269960358,429255853,928672341,882118,,,,,
64,8,UN,Asynchronous,6,744839,511700409,278413418,1280691436,914948,,,,,
64,8,UN,Asynchronous,7,663184,710060181,192790455,141879659,934853,,,,,
64,8,UN,Asynchronous,8,584847,884266846,149129576,1819996806,933472,,,,,
64,8,UN,Asynchronous,9,519696,1044152344,123914238,2326923643,933203,,,,,
64,8,UN,Asynchronous,1,47054,1199370728,102923829,238683458,936372,,,,,
64,10,UN,Asynchronous,1,914353,2140482,872458834,154900342,402378,,,,,
64,10,UN,Asynchronous,2,910044,11266356,852306247,263461036,54651,,,,,
64,10,UN,Asynchronous,3,915063,36400436,814131542,461111618,678776,,,,,
64,10,UN,Asynchronous,4,805937,101311462,742584297,855129063,905039,,,,,
64,10,UN,Asynchronous,5,8794,295776855,544772977,1121475113,909071,,,,,
64,10,UN,Asynchronous,6,776228,548018188,3569093,1589911663,938854,,,,,
64,10,UN,Asynchronous,7,682158,767490173,227405102,1754958119,947917,,,,,
64,10,UN,Asynchronous,8,604104,939929688,177316797,2352552511,950903,,,,,
64,10,UN,Asynchronous,9,539017,1105541992,14525426,254777951,950547,,,,,
64,10,UN,Asynchronous,1,489624,1251231445,126660093,3207772882,952865,,,,,
64,4,HR,Asynchronous,1,418621,950721,330567126,162560751,325694,,,,,
64,4,HR,Asynchronous,2,414236,4682868,317843877,253825208,371337,,,,,
64,4,HR,Asynchronous,3,393893,12673223,321257419,48994064,428255,,,,,
64,4,HR,Asynchronous,4,380225,33187843,290625295,742056173,495729,,,,,
64,4,HR,Asynchronous,5,341765,12290625,231736427,1040479968,489323,,,,,
64,4,HR,Asynchronous,6,318841,262651215,13885743,126444738,560521,,,,,
64,4,HR,Asynchronous,7,268535,373700378,96498589,1752237646,506832,,,,,
64,4,HR,Asynchronous,8,242966,439287231,90756925,1975005819,524236,,,,,
64,4,HR,Asynchronous,9,221539,506213196,75023394,2368824948,522734,,,,,
64,4,HR,Asynchronous,1,202377,602795288,60490983,2066717469,509462,,,,,
64,6,HR,Asynchronous,1,452819,1078156,521344889,224450947,335625,,,,,
64,6,HR,Asynchronous,2,416491,4814028,512702741,383315579,400469,,,,,
64,6,HR,Asynchronous,3,40539,14149101,494651719,638387938,426172,,,,,
64,6,HR,Asynchronous,4,398521,36513699,469551196,897947716,516215,,,,,
64,6,HR,Asynchronous,5,397512,156048096,383694759,1466091771,589583,,,,,
64,6,HR,Asynchronous,6,347587,380817383,237431619,197363609,584635,,,,,
64,6,HR,Asynchronous,7,324751,504747375,191278809,227276014,603385,,,,,
64,6,HR,Asynchronous,8,268258,660401001,146495822,2652015506,559028,,,,,
64,6,HR,Asynchronous,9,254752,812112305,104067686,3195861695,571719,,,,,
64,6,HR,Asynchronous,1,230011,915025818,93711371,2541630367,545833,,,,,
64,8,HR,Asynchronous,1,526524,1231869,650631676,163801348,393082,,,,,
64,8,HR,Asynchronous,2,473054,5644928,678861945,347974872,416753,,,,,
64,8,HR,Asynchronous,3,447295,14823047,677316062,571060156,517943,,,,,
64,8,HR,Asynchronous,4,439256,4155265,640455567,921813348,526667,,,,,
64,8,HR,Asynchronous,5,445936,162783722,55162617,1409149715,617231,,,,,
64,8,HR,Asynchronous,6,371522,497685699,345966081,2162578816,578646,,,,,
64,8,HR,Asynchronous,7,332085,675931763,284934711,2620790918,567231,,,,,
64,8,HR,Asynchronous,8,290999,863256653,234321275,2574649117,564792,,,,,
64,8,HR,Asynchronous,9,282314,996663574,198169508,3392124868,604687,,,,,
64,8,HR,Asynchronous,1,255619,1158224731,157509882,3030629787,611024,,,,,
64,10,HR,Asynchronous,1,503035,1196131,821037681,158319629,382066,,,,,
64,10,HR,Asynchronous,2,482426,5792946,832629849,314127942,435399,,,,,
64,10,HR,Asynchronous,3,479445,17800585,836760791,509908916,49987,,,,,
64,10,HR,Asynchronous,4,484361,47390614,825793428,785114697,577292,,,,,
64,10,HR,Asynchronous,5,426271,16210405,762418444,1418223088,557726,,,,,
64,10,HR,Asynchronous,6,406267,424684723,537662801,1783194698,631094,,,,,
64,10,HR,Asynchronous,7,365252,615394104,424832467,2152341855,631884,,,,,
64,10,HR,Asynchronous,8,338151,83263324,284647089,2949189101,683056,,,,,
64,10,HR,Asynchronous,9,305455,988797302,243685678,3349417336,640625,,,,,
64,10,HR,Asynchronous,1,286714,1154155518,194823388,3407799491,636458,,,,,
64,4,BR,Asynchronous,1,590286,1474199,313118038,26502746,137726,,,,,
64,4,BR,Asynchronous,2,570239,6385164,301836467,54064068,252205,,,,,
64,4,BR,Asynchronous,3,54004,16750683,297233229,89413975,347969,,,,,
64,4,BR,Asynchronous,4,530152,37607037,286104428,161584607,439653,,,,,
64,4,BR,Asynchronous,5,517356,98631683,234559543,346177863,522092,,,,,
64,4,BR,Asynchronous,6,464993,2415065,138143841,587624428,555313,,,,,
64,4,BR,Asynchronous,7,412242,355984772,81354739,688446953,570269,,,,,
64,4,BR,Asynchronous,8,365082,439582275,54572955,956721115,57632,,,,,
64,4,BR,Asynchronous,9,330783,516230347,41036081,789555446,5825,,,,,
64,4,BR,Asynchronous,1,300045,583544617,3303613,1230215474,587587,,,,,
64,6,BR,Asynchronous,1,648118,1745482,50162453,21445301,151797,,,,,
64,6,BR,Asynchronous,2,623425,7612763,486995914,63349039,274809,,,,,
64,6,BR,Asynchronous,3,590987,20255486,464868028,125447427,375703,,,,,
64,6,BR,Asynchronous,4,537327,45311146,449813066,307187608,445208,,,,,
64,6,BR,Asynchronous,5,560995,170806641,363487787,572849075,563368,,,,,
64,6,BR,Asynchronous,6,485852,377750397,22477904,832185981,572552,,,,,
64,6,BR,Asynchronous,7,427971,537255859,152560222,861210192,584792,,,,,
64,6,BR,Asynchronous,8,381173,680231445,109199942,1276382477,591875,,,,,
64,6,BR,Asynchronous,9,346758,823323486,64842144,1607041811,602969,,,,,
64,6,BR,Asynchronous,1,318419,897971619,75311153,1756065814,611111,,,,,
64,8,BR,Asynchronous,1,706503,1912839,706197879,23996447,164679,,,,,
64,8,BR,Asynchronous,2,652849,8527907,665484182,57535982,287014,,,,,
64,8,BR,Asynchronous,3,604986,22941246,643360101,136146416,385208,,,,,
64,8,BR,Asynchronous,4,578066,54552902,625761629,363675685,47691,,,,,
64,8,BR,Asynchronous,5,567715,215921051,511649039,639629146,566536,,,,,
64,8,BR,Asynchronous,6,501516,485607819,347748721,911954125,585833,,,,,
64,8,BR,Asynchronous,7,446351,748391968,217859424,1519366224,604358,,,,,
64,8,BR,Asynchronous,8,398993,945257813,13828172,169442824,612639,,,,,
64,8,BR,Asynchronous,9,356831,1100739502,120530379,2037679313,612188,,,,,
64,8,BR,Asynchronous,1,329844,1262165771,7867394,1525505283,622222,,,,,
64,10,BR,Asynchronous,1,727582,1930754,873604169,28755788,170156,,,,,
64,10,BR,Asynchronous,2,6822,8784504,844140732,58842202,299306,,,,,
64,10,BR,Asynchronous,3,625697,23825163,816210705,13441607,39862,,,,,
64,10,BR,Asynchronous,4,61155,5921846,779310592,405903473,502083,,,,,
64,10,BR,Asynchronous,5,574306,173637634,689117984,943784262,571736,,,,,
64,10,BR,Asynchronous,6,51484,523096191,45544,1459009166,595417,,,,,
64,10,BR,Asynchronous,7,452304,786126831,305172719,1425640396,606241,,,,,
64,10,BR,Asynchronous,8,410658,996017639,18480678,2160995515,621597,,,,,
64,10,BR,Asynchronous,9,372704,1144733521,178556087,1831873466,629453,,,,,
64,10,BR,Asynchronous,1,346742,1297879517,123035292,229619935,647483,,,,,
64,4,PS,Asynchronous,1,787703,1803502,297272181,145151796,444939,,,,,
64,4,PS,Asynchronous,2,77177,8760285,279965347,206818555,542031,,,,,
64,4,PS,Asynchronous,3,75457,2496559,260250104,32483453,667812,,,,,
64,4,PS,Asynchronous,4,720497,54264687,231015389,384912161,732431,,,,,
64,4,PS,Asynchronous,5,673265,98535614,200816199,538891334,803776,,,,,
64,4,PS,Asynchronous,6,600602,164131485,175197572,677867406,827969,,,,,
64,4,PS,Asynchronous,7,521786,258612244,134413359,834448158,824323,,,,,
64,4,PS,Asynchronous,8,476747,320643372,111161267,972773241,854861,,,,,
64,4,PS,Asynchronous,9,431657,398550964,84187286,915343493,859922,,,,,
64,4,PS,Asynchronous,1,397266,452322357,76947265,1050177944,872309,,,,,
64,6,PS,Asynchronous,1,877179,2101553,475167884,162362566,421649,,,,,
64,6,PS,Asynchronous,2,851833,10140016,463786026,237913709,533646,,,,,
64,6,PS,Asynchronous,3,877377,32558105,416138883,420847188,686354,,,,,
64,6,PS,Asynchronous,4,835567,7665834,380515425,489414091,780104,,,,,
64,6,PS,Asynchronous,5,781463,310095978,314613922,707337345,853733,,,,,
64,6,PS,Asynchronous,6,715298,37166571,229012375,877694794,902344,,,,,
64,6,PS,Asynchronous,7,63048,412371552,20058859,939017256,912431,,,,,
64,6,PS,Asynchronous,8,566405,541182068,150632315,1273250027,926181,,,,,
64,6,PS,Asynchronous,9,50749,656648621,124408329,1571410199,929844,,,,,
64,6,PS,Asynchronous,1,462423,750842773,106669307,1494136836,935243,,,,,
64,8,PS,Asynchronous,1,915108,2167838,659665687,18894189,392778,,,,,
64,8,PS,Asynchronous,2,918623,11410483,633454923,265838034,55316,,,,,
64,8,PS,Asynchronous,3,898435,34909355,615454019,460266911,678542,,,,,
64,8,PS,Asynchronous,4,90209,95616432,541620146,542198431,816181,,,,,
64,8,PS,Asynchronous,5,859304,229198608,43418093,854724177,899957,,,,,
64,8,PS,Asynchronous,6,767585,450834259,294302512,1288185116,935104,,,,,
64,8,PS,Asynchronous,7,671155,603029236,256529357,1234085264,939957,,,,,
64,8,PS,Asynchronous,8,601854,793640015,177777102,1769297096,953681,,,,,
64,8,PS,Asynchronous,9,539759,951538147,139549869,2006590809,957344,,,,,
64,8,PS,Asynchronous,1,486748,1087726685,126184347,1974496396,95651,,,,,
64,10,PS,Asynchronous,1,930484,2192356,847957303,164755251,394523,,,,,
64,10,PS,Asynchronous,2,942199,12014284,826762393,27798685,550712,,,,,
64,10,PS,Asynchronous,3,941612,36644043,786883481,532570733,695234,,,,,
64,10,PS,Asynchronous,4,927346,105939613,709664401,662714307,822292,,,,,
64,10,PS,Asynchronous,5,888311,274691742,550531361,937078417,915582,,,,,
64,10,PS,Asynchronous,6,797411,512345947,374545667,1368201165,955,,,,,
64,10,PS,Asynchronous,7,706503,725963135,243629049,1779316082,969549,,,,,
64,10,PS,Asynchronous,8,627709,885104004,210026391,2193119031,973681,,,,,
64,10,PS,Asynchronous,9,560011,1040495117,172818675,2686459284,974687,,,,,
64,10,PS,Asynchronous,1,50823,1180058472,160397978,2766021133,978386,,,,,
16,4,UN,Client-Server,1,837166,2004246,264944191,547570481,607049,,,,,
16,4,UN,Client-Server,2,799354,9472887,260322674,571093509,684306,,,,,
16,4,UN,Client-Server,3,852871,29294453,209804258,693270291,779792,,,,,
16,4,UN,Client-Server,4,763965,66187737,196745354,83228476,795,,,,,
16,4,UN,Client-Server,5,729444,133006058,157230179,1194286232,827951,,,,,
16,4,UN,Client-Server,6,625584,202418213,128417501,1261044228,857292,,,,,
16,4,UN,Client-Server,7,560313,281745117,98304158,1657765373,878403,,,,,
16,4,UN,Client-Server,8,531492,349288635,85586606,1827375029,899167,,,,,
16,4,UN,Client-Server,9,476232,411124512,75172233,1999516709,909375,,,,,
16,4,UN,Client-Server,1,423975,498134125,64562717,169850628,876389,,,,,
16,6,UN,Client-Server,1,914756,2220169,465308045,652441763,515521,,,,,
16,6,UN,Client-Server,2,91516,11093018,432340411,1003826707,664167,,,,,
16,6,UN,Client-Server,3,904898,35288231,396832563,811330775,762292,,,,,
16,6,UN,Client-Server,4,861362,86183983,363243995,1177194924,829028,,,,,
16,6,UN,Client-Server,5,792027,218846512,271082784,1003120135,867535,,,,,
16,6,UN,Client-Server,6,705315,36237619,192780636,171883999,892083,,,,,
16,6,UN,Client-Server,7,637113,49474469,144197162,2071088303,918021,,,,,
16,6,UN,Client-Server,8,565409,620136169,10911666,2622311601,920833,,,,,
16,6,UN,Client-Server,9,505995,746678711,97670696,2646366771,90375,,,,,
16,6,UN,Client-Server,1,455567,849864807,86230127,3239210381,901736,,,,,
16,8,UN,Client-Server,1,90698,227336,665293585,93618684,484097,,,,,
16,8,UN,Client-Server,2,919247,11414202,634179949,1092624144,631389,,,,,
16,8,UN,Client-Server,3,923054,35754356,600485778,1317559372,741562,,,,,
16,8,UN,Client-Server,4,907902,105284363,516166909,858284943,834861,,,,,
16,8,UN,Client-Server,5,845062,274173981,402508533,1832015352,90191,,,,,
16,8,UN,Client-Server,6,733655,525180847,260326255,2248767269,907083,,,,,
16,8,UN,Client-Server,7,661952,689955933,206797478,2360612364,927986,,,,,
16,8,UN,Client-Server,8,586487,887138184,144352713,3390422991,932778,,,,,
16,8,UN,Client-Server,9,541788,1026908203,135949253,4020823301,945937,,,,,
16,8,UN,Client-Server,1,490409,1176928711,114291223,4475082423,945486,,,,,
16,10,UN,Client-Server,1,955848,2391438,82754203,870068191,479271,,,,,
16,10,UN,Client-Server,2,935056,11377554,810791833,1582542014,601667,,,,,
16,10,UN,Client-Server,3,932695,37361408,784912542,16809416,724479,,,,,
